401-1-1;integration foreign minorities germany
401-2-1;foreign minorities germany integration issues
401-3-1;germany foreign minority integration
401-4-1;language cultural differences immigrants in germany
401-5-1;foreign minorities in germany cultural language issues
401-5-2;foreign minorities in germany immigration difficulties causes reasons
401-5-3;foreign minorities in germany immigration difficulties integration
401-6-1;language culture foreign minority germany
402-1-1;behavioral genetics impact behavior personality
402-2-1;behavioral genetics human personality
402-3-1;behavioral genetics
402-4-1;genetic and environmental factors behavioral studies personality
402-5-1;behavioral genetics research behavior personality
402-5-2;behavioral genetics substance abuse
402-5-3;behavioral genetics detecting disposition towards addictive behavior
402-5-4;behavioral genetics genetic disorders add attention deficit disorder
402-6-1;behavioural genetics research
403-1-1;osteoporosis diet potassium magnesium fruits vegetables bone mineral density
403-1-2;osteoporosis
403-2-1;effects of the dietary intakes of potassium magnesium and fruits and vegetables as determinants of bone mineral density in elderly men and women thus preventing osteoporosis bone decay
403-3-1;osteoporosis
403-4-1;dietary intakes of potassium osteoporosis prevention
403-5-1;potassium magnesium fruits vegetables bone mineral density osteoporosis
403-5-2;fruits and vegetables preventing osteoporosis in elderly
403-5-3;diet nutrition preventing osteoporosis
403-6-1;osteoporosis prevention potassium magnesium bone mineral density
404-1-1;ireland peace talks
404-1-2;ireland peace talks delays
404-1-3;ireland peace talks disruptions
404-2-1;ireland peace talk delay violence bombing
404-3-1;northern ireland peace talk delay
404-4-1;peace talk disruption in ireland
404-4-2;ireland peach talk interruption
404-5-1;peace talks delayed ireland violence
404-5-2;peace talks delayed ireland violent acts
404-5-3;number of times peace talks delayed ireland due to violence
404-5-4;peace talks disrupted ireland violence
404-5-5;ireland violence disrupted peace talks
404-5-6;ireland peace talks stopped due to violence how many times
404-5-7;ireland peace talks halted by violence
404-5-8;ireland peace process disturbed violence
404-5-9;ireland peace process delayed violence
404-5-10;north ireland peace process delayed violence
404-6-1;ireland peace talk delay disrupt violence
404-7-1;ireland peace talks disruption broken off violence attack threat fighter ira republican army british ulster
404-8-1;peace talks ireland violence
404-8-2;peace talks ireland violent disruption
404-8-3;peace talks ireland halt siege
404-8-4;peace talks ireland savage attacks
405-1-1;unexpected cosmic event radiation supernova outburst new comet
405-1-2;unexpected cosmic event
405-2-1;unexpected or unexplained cosmic events or celestial phenomena such as radiation and supernova outbursts or new comets
405-3-1;cosmic events
405-3-2;celestial phenomena
405-4-1;celestial phenomena detection radiation supernova outbursts comets
405-5-1;unexpected unexplained cosmic events radiation supernova
